year,title,type,wiki_id,tvt_id,trope_count
1902,A Trip to the Moon,film,527391,341577,18
1909,A Corner in Wheat,film,73413,333919,15
1910,White Fawn's Devotion,film,20894604,462618,8
1912,The Land Beyond the Sunset,film,74861,447113,10
1912,A Cure for Pokeritis,film,40619799,463128,7
1912,From the Manger to the Cross,film,73497,477556,22
1913,Traffic in Souls,film,33884986,436820,15
1913,The Evidence of the Film,film,7259438,447797,6
1914,Mabel's Blunder,film,25632827,451682,7
1914,Mabel's Strange Predicament,film,11449142,476968,8
1915,The Tramp,film,2546555,428158,9
1915,Fatty's Tintype Tangle,film,73463,450442,13
1916,Intolerance,film,189862,341580,58
1916,The Mystery of the Leaping Fish,film,21196320,440470,14
1916,Les Vampires,film,1634487,454723,13
1916,Hell's Hinges,film,73977,460274,12
1916,Civilization,film,73405,461146,17
1917,Easy Street,film,2834726,300198,14
1917,The Poor Little Rich Girl,film,76016,460211,13
1919,The Master Mystery,film,45198911,384379,18
1919,From Hand To Mouth,film,14400225,501345,11
1920,The Cabinet of Dr. Caligari,film,173650,319300,62
1920,Treasure Island,film,18185435,392905,56
1920,Convict 13,film,5555565,395420,27
1920,One Week,film,2554598,395426,25
1920,The Scarecrow,film,6836554,395429,31
1920,Neighbors (1920),film,5564328,422106,28
1920,Way Down East,film,4499436,447869,19
1920,The Mark of Zorro,film,1087443,470720,17
1920,Within Our Gates,film,76638,480537,19
1921,Never Weaken,film,6309125,343554,9
1921,Hard Luck,film,6836566,356154,36
1921,The Boat,film,13991161,395419,41
1921,The Goat,film,5564502,395421,33
1921,The High Sign,film,6759912,395423,39
1921,The Playhouse,film,2219138,395428,27
1921,The Idle Class,film,2562663,395431,11
1921,The Kid,film,1346905,402769,22
1921,Orphans of the Storm,film,5925279,455245,21
1921,Tol'able David,film,3864340,459089,13
1921,The Four Horsemen of the Apocalypse,film,2137591,474545,22
1921,The Wildcat,film,27899374,486563,21
1922,Nosferatu,film,82423,18135,44
1922,C.O.P.S.,film,73411,21836,25
1922,The Blacksmith,film,13992233,81251,19
1922,"Dr. Mabuse, the Gambler",film,5316735,313784,27
1922,My Wife's Relations,film,13991984,316091,30
1922,Hxan,film,3644898,334136,22
1922,The Paleface,film,6748163,395427,27
1922,Nanook of the North,film,21174,462029,11
1922,Foolish Wives,film,15852561,490230,25
1923,Our Hospitality,film,2685258,323135,37
1923,Safety Last!,film,76313,324123,15
1923,The Love Nest,film,5674562,395424,22
1923,Three Ages,film,5566931,395430,17
1923,Souls for Sale,film,3836795,450386,12
1923,The Pilgrim,film,2544108,464466,12
1923,A Woman of Paris,film,546663,474030,15
1924,Greed,film,73930,235020,16
1924,"Sherlock, Jr.",film,76346,314537,49
1924,Wild Oranges,film,14193289,395793,6
1924,The Last Laugh,film,45488,429285,13
1924,Girl Shy,film,3371111,459640,16
1924,The Iron Horse,film,4717197,483698,18
1924,He Who Gets Slapped,film,2542546,487044,16
1924,The Navigator,film,4499305,487207,17
1925,The Lost World,film,2509613,296239,24
1925,The Freshman,film,3831825,324334,13
1925,The Gold Rush,film,73882,365777,26
1925,The Big Parade,film,73368,395796,27
1925,Ben Hur,film,1343327,406111,57
1925,Seven Chances,film,5697483,430919,30
1925,The Phantom of the Opera (1925),film,308930,434201,12
1925,Go West,film,9021073,441672,20
1925,Strike,film,4655863,465290,25
1925,Grass,film,73900,475485,10
1925,The Monster,film,3291573,485485,22
1926,Sunrise,film,32896307,16896,34
1926,The General,film,68388,21609,25
1926,Flesh and the Devil,film,2676497,334196,17
1926,Hands Up!,film,18041934,464537,22
1926,Sparrows,film,13613782,465078,12
1926,Exit Smiling,film,24582045,481064,16
1926,The Black Pirate,film,73371,494311,26
1926,The Strong Man,film,3991335,497584,17
1927,Wings,film,61046,42280,37
1927,Metropolis,film,49696,319343,121
1927,Underworld (1927),film,1832025,351862,49
1927,The Kid Brother,film,5045608,391332,16
1927,The Unknown,film,3566585,400345,18
1927,The King Of Kings,film,1261355,444658,25
1927,Two Arabian Knights,film,300596,458900,12
1927,7th Heaven,film,61049,461540,25
1927,It,film,271588,478104,11
1928,"Steamboat Bill, Jr.",film,584014,314740,15
1928,The Wind,film,76634,327047,20
1928,The Circus,film,142780,395432,22
1928,Our Dancing Daughters,film,2237290,395799,15
1928,Show People,film,2424380,395800,17
1928,The Passion of Joan of Arc,film,457561,395801,48
1928,The Crowd,film,928593,395803,27
1928,The Man Who Laughs,film,8864659,406202,32
1928,West Of Zanzibar,film,9334416,438837,17
1928,Speedy,film,1823165,451782,15
1928,The Student Prince in Old Heidelberg,film,4525665,452058,18
1928,Storm Over Asia,film,12074729,459047,19
1928,The Racket,film,61047,460095,21
1928,The Cossacks,film,33172540,468609,15
1928,The Life And Death Of 9413 A Hollywood Extra,film,74892,481644,9
1928,Sadie Thompson,film,172005,483247,14
1928,The Last Command,film,1096473,487727,32
1928,The Cameraman,film,5656505,490666,20
1928,Street Angel,film,171990,497109,43
1928,The Docks of New York,film,73432,501332,28
1929,Woman in the Moon,film,767193,328331,13
1929,Un Chien Andalou,film,161334,388431,13
1929,Blackmail,film,1237381,443858,19
1929,Marianne,film,23795488,474762,15
1929,Pandora's Box,film,457578,475718,18
1929,Man with a Movie Camera,film,185564,476874,24
1929,Wild Orchids,film,24587933,481773,15
1929,The Iron Mask,film,2376252,495641,29
1929,The Broadway Melody,film,61182,496565,22
1929,Lucky Star,film,8850968,499031,15
1930,The Unholy Three,film,16780427,322705,39
1930,The Blue Angel,film,1588930,327658,17
1930,All Quiet on the Western Front,film,4592959,329254,61
1930,Just Imagine,film,1178726,395133,19
1930,Hell's Angels,film,1282851,459719,19
1930,Doughboys,film,33593483,475475,13
1930,Min and Bill,film,177741,475994,14
1930,Murder!,film,1623263,477877,16
1930,Earth,film,4292900,491377,16
1930,The Big House,film,61186,498998,24
1930,Morocco,film,74966,501807,26
1931,M,film,66322,74540,63
1931,The Front Page,film,6554925,276856,20
1931,Frankenstein (1931),film,73488,297503,28
1931,The Public Enemy,film,76034,303540,28
1931,Little Caesar,film,15272880,343423,20
1931,City Lights,film,73401,358402,34
1931,Ambassador Bill,film,18295339,402268,4
1931,Monkey Business,film,1230304,442782,11
1931,Mdchen in Uniform,film,1245942,454042,6
1931,The Champ,film,61058,469675,13
1931,Le Million,film,3644374,470537,18
1931,Mata Hari,film,6538127,475781,15
1931,The Smiling Lieutenant,film,61062,478034,13
1931,A Free Soul,film,144765,482481,13
1931,Cimarron,film,2410609,496701,21
1931,Tabu,film,76375,499665,11
1932,Doctor X,film,6174864,71082,38
1932,Murders in the Rue Morgue,film,5479998,267328,16
1932,White Zombie,film,1610321,338340,20
1932,Freaks,film,73494,351302,40
1932,The Music Box,film,74971,388274,29
1932,Island of Lost Souls,film,5480364,393162,14
1932,Horse Feathers,film,1014242,395129,31
1932,Grand Hotel,film,44752,395140,25
1932,The Greeks Had a Word for Them,film,16794046,395141,8
1932,I Am a Fugitive from a Chain Gang,film,61070,395142,30
1932,Trouble in Paradise,film,76399,395143,19
1932,The Mummy (1932),film,253833,399457,30
1932,Scarface (1932),film,76331,455063,27
1932,The Old Dark House (1932),film,2629975,457953,21
1932,Red Dust,film,2615418,462295,21
1932,Call Her Savage,film,18779810,480429,27
1932,Red-Headed Woman,film,1141361,481524,19
1932,Downstairs,film,27283528,482525,17
1932,Blonde Venus,film,8030277,500953,18
1933,The Invisible Man,film,1605299,298381,31
1933,42nd Street,film,840058,314777,24
1933,Queen Christina,film,2513887,329457,10
1933,Flying Down to Rio,film,2528686,381756,25
1933,Duck Soup,film,73440,395130,55
1933,Female,film,11570453,395298,22
1933,Gabriel Over the White House,film,2404582,395299,13
1933,Gold Diggers of 1933,film,2810604,395300,25
1933,Footlight Parade,film,73473,395301,16
