trope_id,trope_name,reg_coef
152,Secret Identity,-7.0523112850095373e-05
156,A Boy and His X,8.2923301959878426e-05
161,A Darker Me,6.6481831849148254e-06
163,A Day in the Limelight,2.7434388299321e-05
165,A Fte Worse Than Death,9.8894785213391472e-06
166,A God Am I,0.00015767478210547601
167,A.I. Is a Crapshoot,9.8170236411265446e-05
170,A.K.A.-47,1.0562722798427179e-05
171,A Kind of One,0.0
173,"A Long Time Ago, in a Galaxy Far Far Away...",4.0520280400340393e-06
174,A Man Is Not a Virgin,0.00011627682732623239
175,A Nuclear Error,2.8923503397569645e-05
179,A Simple Plan,6.3739031867357231e-05
182,A-Team Firing,7.5470120717512789e-05
183,A-Team Montage,1.6958293262501501e-05
184,A Twinkle in the Sky,2.220581061595339e-06
185,A Winner Is You,0.0
186,A Wizard Did It,2.3947619334847685e-05
193,Aborted Arc,6.3849326252142752e-05
195,Absent Aliens,1.0412612656756295e-05
199,Absurdity Ascendant,1.8153316504141098e-06
200,Absurdly Powerful Student Council,2.2745029441567927e-05
202,Acceptable Breaks from Reality,1.2737082227613174e-05
203,Acceptable Targets,1.8026818949444527e-05
205,Accidental Bid,3.1303029803779445e-06
206,Accidental Hero,-7.6096276457603037e-05
207,Accidental Kiss,5.7801400456708902e-06
208,Accidental Marriage,-0.00010011988034502413
209,Accidental Pervert,-7.2757293673319204e-07
213,Achey Scars,6.2738116845391615e-06
214,Achilles' Heel,2.801508085121232e-05
215,Achilles in His Tent,2.7141344239583185e-05
217,Acme Products,-4.4623057442553599e-05
218,Acquired Situational Narcissism,2.1779087474269747e-05
219,Acquitted Too Late,-2.10387810403386e-05
221,Acrophobic Bird,2.3614063373125644e-05
223,Acting for Two,0.00014105842727630684
224,Action Adventure,0.0
230,Action Girl,0.00047689770151233108
233,Action Series,2.5532583880275726e-06
239,Adam and Eve Plot,1.3504757295348309e-05
242,Adaptation Decay,1.7841130087098626e-05
243,Adaptation Displacement,-4.477101574620234e-07
244,Adaptation Distillation,0.00013498326531656473
245,Added Alliterative Appeal,-6.5440882864004253e-06
251,Adults Are Useless,0.00020872332308154084
253,Adventure Rebuff,3.4248609960753923e-06
256,Adventure Towns,0.0
257,Adventurer Archaeologist,1.1490218478288707e-05
259,Aesoptinum,6.4591427446585281e-06
